id,username,type,graduation_date,cgpa,entryyear,entrytype,left_date
1692,N20236072,6,NULL,NULL,2021,NULL,NULL
1693,N20236572,6,NULL,NULL,2021,NULL,NULL
1695,N20237107,6,NULL,NULL,2021,NULL,NULL
1698,N20238133,6,NULL,NULL,2021,NULL,NULL
1701,N20238479,6,NULL,NULL,2021,NULL,NULL
1703,N20238936,6,NULL,NULL,2021,NULL,NULL
1704,N20239546,6,NULL,NULL,2021,NULL,NULL
1705,2210469001,3,NULL,NULL,2021,NULL,NULL
1706,2210469002,3,NULL,NULL,2021,NULL,NULL
1708,2210469004,3,NULL,NULL,2021,NULL,NULL
1709,2210469005,3,NULL,NULL,2021,NULL,NULL
1710,2210469006,3,NULL,NULL,2021,NULL,NULL
1711,2210469007,3,NULL,NULL,2021,NULL,NULL
1713,2210469009,3,NULL,NULL,2021,NULL,NULL
1714,2210469010,3,NULL,NULL,2021,NULL,NULL
1716,2210469012,3,NULL,NULL,2021,NULL,NULL
1717,2210469013,3,NULL,NULL,2021,NULL,NULL
1718,2210469014,3,NULL,NULL,2021,NULL,NULL
1719,2210469015,3,NULL,NULL,2021,NULL,NULL
1720,2210469016,3,NULL,NULL,2021,NULL,NULL
1722,2210469018,3,NULL,NULL,2021,NULL,NULL
1723,2210469019,3,NULL,NULL,2021,NULL,NULL
1725,2210469021,3,NULL,NULL,2021,NULL,NULL
1726,2210469022,3,NULL,NULL,2021,NULL,NULL
1727,2210469023,3,NULL,NULL,2021,NULL,NULL
1728,2210469024,3,NULL,NULL,2021,NULL,NULL
1729,2210469025,3,NULL,NULL,2021,NULL,NULL
1730,2210469026,3,NULL,NULL,2021,NULL,NULL
1731,2210469027,3,NULL,NULL,2021,NULL,NULL
1732,2210469028,3,NULL,NULL,2021,NULL,NULL
1733,2210469029,3,NULL,NULL,2021,NULL,NULL
1734,2210469030,3,NULL,NULL,2021,NULL,NULL
1735,2210469031,3,NULL,NULL,2021,NULL,NULL
1736,2210469032,3,NULL,NULL,2021,NULL,NULL
1737,2210469033,3,NULL,NULL,2021,NULL,NULL
1738,2210469034,3,NULL,NULL,2021,NULL,NULL
1739,2210469035,3,NULL,NULL,2021,NULL,NULL
1740,2210469036,3,NULL,NULL,2021,NULL,NULL
1741,2210469037,3,NULL,NULL,2021,NULL,NULL
1742,2210469038,3,NULL,NULL,2021,NULL,NULL
1743,2210469039,3,NULL,NULL,2021,NULL,NULL
1744,2210469040,3,NULL,NULL,2021,NULL,NULL
1745,2210469041,3,NULL,NULL,2021,NULL,NULL
1746,2210469042,3,NULL,NULL,2021,NULL,NULL
